onset	duration	stage	RT	SearchEvidence	SearchValue	SearchCosts	OfferValue	Choice_isForage	ExcludeBlock	ExpValueLeft	ExpValueRight	Choice_isLeft
6.018838422	2.7	forage	8.803	27.13556494	286.6666667	40	159.5	0	n/a	n/a	n/a	n/a
19.16396404	1.8	engage	1.607	n/a	n/a	n/a	n/a	n/a	0	13.95	133.4	0
30.83106477	2.7	forage	7.454	29.8315913	251.6666667	40	139.471933	0	n/a	n/a	n/a	n/a
42.4621974	1.8	engage	4.309	n/a	n/a	n/a	n/a	n/a	0	40.3	78.3	0
57.02766732	2.7	forage	3.271	-31.86733732	318.3333333	20	262.0355364	0	n/a	n/a	n/a	n/a
65.84370775	1.8	engage	1.657	n/a	n/a	n/a	n/a	n/a	0	163.3	269.5	0
76.29291097	2.7	forage	4.31	-126.0484583	143.3333333	20	239.1306272	0	n/a	n/a	n/a	n/a
83.69232318	1.8	engage	4.478	n/a	n/a	n/a	n/a	n/a	0	286.2	390.1	0
97.34164432	2.7	forage	2.951	200.2937277	440	20	43.89210804	1	n/a	n/a	n/a	n/a
106.973951	2.7	forage	2.678	-33.26982211	301.6666667	40	256.5513053	0	n/a	n/a	n/a	n/a
113.9733464	1.8	engage	2.758	n/a	n/a	n/a	n/a	n/a	0	192	252	1
125.5224367	2.7	forage	3.409	-160.0844424	183.3333333	20	269.5	0	n/a	n/a	n/a	n/a
134.0551559	1.8	engage	3.974	n/a	n/a	n/a	n/a	n/a	0	42.75	289.1	0
146.1708633	2.7	forage	10.864	113.697983	286.6666667	40	99	1	n/a	n/a	n/a	n/a
163.419525	2.7	forage	4.873	-25.96053854	246.6666667	40	220	0	n/a	n/a	n/a	n/a
171.6522648	1.8	engage	3.463	n/a	n/a	n/a	n/a	n/a	0	238	10.5	1
184.5534498	2.7	forage	1.964	174.9329762	378.3333333	5	60.86821588	1	n/a	n/a	n/a	n/a
194.03387	2.7	forage	5.323	45.64560133	321.6666667	5	186.3626075	1	n/a	n/a	n/a	n/a
207.1828352	2.7	forage	2.389	-84.49139044	250	20	267.0085257	0	n/a	n/a	n/a	n/a
214.9489692	1.8	engage	1.751	n/a	n/a	n/a	n/a	n/a	0	430.95	108	1
227.0146746	2.7	forage	5.75	18.78201633	306.6666667	20	188.9016649	0	n/a	n/a	n/a	n/a
236.1806725	1.8	engage	5.352	n/a	n/a	n/a	n/a	n/a	0	201.6	205.2	1
251.6961501	2.7	forage	4.458	95.72674245	333.3333333	20	132.7519239	1	n/a	n/a	n/a	n/a
264.714746	2.7	forage	3.818	9.750205389	300	5	205.8799859	1	n/a	n/a	n/a	n/a
281.3140742	2.7	forage	2.97	-74.60738058	270	40	267.313113	0	n/a	n/a	n/a	n/a
289.6265944	1.8	engage	1.464	n/a	n/a	n/a	n/a	n/a	0	379.6	133.9	1
303.0254605	2.7	forage	3.795	-70.49678923	278.3333333	20	262.9443187	0	n/a	n/a	n/a	n/a
312.2248258	1.8	engage	3.747	n/a	n/a	n/a	n/a	n/a	0	361.4	176	1
325.9572061	2.7	forage	6.831	67.42024546	371.6666667	20	162.9376037	1	n/a	n/a	n/a	n/a
340.1059718	2.7	forage	4.025	74.30924836	343.3333333	20	158.9223631	1	n/a	n/a	n/a	n/a
352.8065725	2.7	forage	3.286	-54.23765572	301.6666667	20	258.5340275	0	n/a	n/a	n/a	n/a
362.5209412	1.8	engage	1.203	n/a	n/a	n/a	n/a	n/a	0	413.1	186	1
371.9201622	2.7	forage	3.773	244.2672065	451.6666667	5	15.14858408	1	n/a	n/a	n/a	n/a
381.8194529	2.7	forage	3.873	-53.20571065	291.6666667	20	277.8342387	0	n/a	n/a	n/a	n/a
388.935672	1.8	engage	1.715	n/a	n/a	n/a	n/a	n/a	0	153	420	0
399.6196857	2.7	forage	5.803	203.6786027	416.6666667	20	48.45261808	1	n/a	n/a	n/a	n/a
414.9703843	2.7	forage	4.739	-20.44462217	290	20	245.259167	0	n/a	n/a	n/a	n/a
425.249437	1.8	engage	1.442	n/a	n/a	n/a	n/a	n/a	0	98.7	270.6	0
436.0846071	2.7	forage	5.906	6.054048254	221.6666667	40	159.5	1	n/a	n/a	n/a	n/a
450.6673326	2.7	forage	4.21	-135.5343376	150	5	251.5003018	0	n/a	n/a	n/a	n/a
459.3968728	1.8	engage	3.79	n/a	n/a	n/a	n/a	n/a	0	112.7	91.25	1
473.0658091	2.7	forage	5.517	-12.20543903	301.6666667	5	231	0	n/a	n/a	n/a	n/a
484.1282484	1.8	engage	1.548	n/a	n/a	n/a	n/a	n/a	0	31.6	315	0
497.5976154	2.7	forage	8.591	93.39072481	285	5	115.3893416	1	n/a	n/a	n/a	n/a
517.3964978	2.7	forage	4.113	58.04168637	270	5	146.760173	1	n/a	n/a	n/a	n/a
528.4748286	2.7	forage	7.785	46.94122697	263.3333333	40	155.5525376	0	n/a	n/a	n/a	n/a
539.4740213	1.8	engage	7.69	n/a	n/a	n/a	n/a	n/a	0	201.55	56	1
555.3233635	2.7	forage	5.08	-45.39162182	198.3333333	5	207.323525	0	n/a	n/a	n/a	n/a
563.8721432	1.8	engage	8.227	n/a	n/a	n/a	n/a	n/a	0	234	181.9	1
580.9726062	2.7	forage	4.889	160.3393441	400	40	95.93503848	1	n/a	n/a	n/a	n/a
595.5543583	2.7	forage	4.324	-50.38545177	300	5	264.6871888	0	n/a	n/a	n/a	n/a
605.1356379	1.8	engage	2.909	n/a	n/a	n/a	n/a	n/a	0	283.4	116	1
619.3036204	2.7	forage	7.815	128.3986587	346.6666667	20	107.5049293	1	n/a	n/a	n/a	n/a
634.7853991	2.7	forage	3.172	-77.736358	250	5	259.426211	0	n/a	n/a	n/a	n/a
641.3662048	1.8	engage	4.365	n/a	n/a	n/a	n/a	n/a	0	132.6	171.6	0
652.4986568	2.7	forage	2.304	163.1180323	266.6666667	5	35.56450883	1	n/a	n/a	n/a	n/a
662.2311996	2.7	forage	3.293	88.33559009	228.3333333	5	101.0549268	1	n/a	n/a	n/a	n/a
671.4138848	2.7	forage	13.367	-43.52949885	208.3333333	5	214.5	1	n/a	n/a	n/a	n/a
692.9122649	2.7	forage	2.691	-130.5309726	166.6666667	40	269.8056939	0	n/a	n/a	n/a	n/a
701.178273	1.8	engage	2.361	n/a	n/a	n/a	n/a	n/a	0	122	459	0
712.413303	2.7	forage	3.929	170.1097446	321.6666667	20	41.78074544	1	n/a	n/a	n/a	n/a
722.9599085	2.7	forage	5.051	-67.12880807	233.3333333	20	244.8696494	0	n/a	n/a	n/a	n/a
732.275905	1.8	engage	4.249	n/a	n/a	n/a	n/a	n/a	0	227.95	151.2	1
